word	links	searches	score
slang-heaps	1	0	1
slang-hopium	1	0	1
slang-loaded	1	0	1
slang-nutter	1	0	1
slang-plastered	1	0	1
slang-ripper	1	0	1
slang-sanga	1	0	1
slang-servo	1	0	1
slang-settee	1	0	1
slang-skive	1	0	1
slang-snag	1	0	1
slang-sorted	1	0	1
slang-stacks	1	0	1
slang-strewth	1	0	1
slang-stubby	1	0	1
slang-sunnies	1	0	1
slang-thongs	1	0	1
slang-tipsy	1	0	1
slang-tradie	1	0	1
slang-ute	1	0	1
slang-vent	1	0	1
slang-whatever	1	0	1
slang-yeahnah	1	0	1
sloop	1	0	1
smaller	1	0	1
smashed	1	0	1
spacing	1	0	1
spheroidal	1	0	1
spirited	1	0	1
spoilsport	1	0	1
spotlight	1	0	1
stereo	1	0	1
stoicism	1	0	1
straightening	1	0	1
striker	1	0	1
stylesheet	1	0	1
subgrade	1	0	1
summoned	1	0	1
surreptitiously	1	0	1
sweets	1	0	1
swinging	1	0	1
telling	1	0	1
thanklessness	1	0	1
thingy	1	0	1
top-selling	1	0	1
transported	1	0	1
transshipment	1	0	1
trend-chillguy	1	0	1
troubling	1	0	1
unconfirmed	1	0	1
unknowingly	1	0	1
unstructured	1	0	1
uxor	1	0	1
variety show	1	0	1
vice-chairman	1	0	1
walkthrough	1	0	1
warsaw	1	0	1
weeping	1	0	1
wellbeing	1	0	1
wi-fi	1	0	1
widening	1	0	1
wired	1	0	1
workflow	1	0	1
